Period	Frame	Time [s]	player	x	y
1	20375	815.0	15	0.52333	0.15093
1	20375	815.0	16	0.52972	0.31205
1	20375	815.0	17	0.48127	0.45092
1	20375	815.0	18	0.38463	0.04628
1	20375	815.0	19	0.2589	0.07167
1	20375	815.0	20	0.40152	0.31453
1	20375	815.0	21	0.33072	0.1505
1	20375	815.0	22	0.3435	0.72761
1	20375	815.0	23	0.24628	0.17472
1	20375	815.0	24	0.22221	0.40027
1	20375	815.0	25	0.82113	0.45911
1	20376	815.04	15	0.52258	0.15109
1	20376	815.04	16	0.52911	0.31197
1	20376	815.04	17	0.4811	0.45105
1	20376	815.04	18	0.38349	0.04675
1	20376	815.04	19	0.25701	0.07325
1	20376	815.04	20	0.40083	0.314
1	20376	815.04	21	0.32976	0.15107
1	20376	815.04	22	0.34193	0.72734
1	20376	815.04	23	0.24593	0.17483
1	20376	815.04	24	0.22145	0.40139
1	20376	815.04	25	0.82054	0.45899
1	20377	815.08	15	0.52184	0.15123
1	20377	815.08	16	0.52849	0.31188
1	20377	815.08	17	0.48093	0.45116
1	20377	815.08	18	0.38235	0.04728
1	20377	815.08	19	0.25513	0.07488
1	20377	815.08	20	0.40013	0.31339
1	20377	815.08	21	0.32881	0.15161
1	20377	815.08	22	0.34038	0.72701
1	20377	815.08	23	0.24556	0.17482
1	20377	815.08	24	0.22071	0.40247
1	20377	815.08	25	0.81996	0.45888
1	20378	815.12	15	0.52109	0.15136
1	20378	815.12	16	0.52789	0.31177
1	20378	815.12	17	0.48076	0.45129
1	20378	815.12	18	0.3812	0.0478
1	20378	815.12	19	0.25326	0.07648
1	20378	815.12	20	0.39941	0.31275
1	20378	815.12	21	0.32786	0.15212
1	20378	815.12	22	0.33885	0.72667
1	20378	815.12	23	0.24522	0.17475
1	20378	815.12	24	0.21997	0.40347
1	20378	815.12	25	0.81938	0.45877
1	20379	815.16	15	0.52033	0.15147
1	20379	815.16	16	0.52727	0.31169
1	20379	815.16	17	0.48061	0.45145
1	20379	815.16	18	0.38007	0.04828
1	20379	815.16	19	0.25142	0.07813
1	20379	815.16	20	0.39866	0.31209
1	20379	815.16	21	0.32694	0.1526
1	20379	815.16	22	0.33735	0.72629
1	20379	815.16	23	0.24489	0.17472
1	20379	815.16	24	0.21927	0.40448
1	20379	815.16	25	0.81883	0.45867
1	20380	815.2	15	0.51957	0.15162
1	20380	815.2	16	0.52667	0.31165
1	20380	815.2	17	0.48045	0.45159
1	20380	815.2	18	0.37892	0.04875
1	20380	815.2	19	0.24959	0.07976
1	20380	815.2	20	0.3979	0.31152
1	20380	815.2	21	0.32602	0.15305
1	20380	815.2	22	0.33586	0.72587
1	20380	815.2	23	0.24456	0.17458
1	20380	815.2	24	0.21859	0.40545
1	20380	815.2	25	0.8183	0.45854
1	20381	815.24	15	0.5188	0.15177
1	20381	815.24	16	0.52606	0.31158
1	20381	815.24	17	0.4803	0.4517
1	20381	815.24	18	0.37777	0.04919
1	20381	815.24	19	0.24779	0.08145
1	20381	815.24	20	0.39713	0.31087
1	20381	815.24	21	0.32511	0.15346
1	20381	815.24	22	0.3344	0.72542
1	20381	815.24	23	0.24422	0.1744
1	20381	815.24	24	0.21791	0.40639
1	20381	815.24	25	0.8178	0.45834
1	20382	815.28	15	0.51805	0.15196
1	20382	815.28	16	0.52547	0.3115
1	20382	815.28	17	0.48017	0.45184
1	20382	815.28	18	0.37663	0.04969
1	20382	815.28	19	0.24599	0.08312
1	20382	815.28	20	0.39636	0.31024
1	20382	815.28	21	0.32422	0.15392
1	20382	815.28	22	0.33296	0.72492
1	20382	815.28	23	0.24394	0.17441
1	20382	815.28	24	0.21725	0.4073
1	20382	815.28	25	0.81731	0.45812
1	20383	815.32	15	0.51728	0.1522
1	20383	815.32	16	0.52488	0.31144
1	20383	815.32	17	0.48002	0.45196
1	20383	815.32	18	0.37549	0.05025
1	20383	815.32	19	0.24424	0.08482
1	20383	815.32	20	0.39556	0.30953
1	20383	815.32	21	0.32335	0.15433
1	20383	815.32	22	0.33155	0.72435
1	20383	815.32	23	0.24365	0.17438
1	20383	815.32	24	0.21661	0.40818
1	20383	815.32	25	0.81683	0.45791
1	20384	815.36	15	0.5165	0.15236
1	20384	815.36	16	0.5243	0.31137
1	20384	815.36	17	0.47988	0.45205
1	20384	815.36	18	0.37436	0.05079
1	20384	815.36	19	0.24253	0.08648
1	20384	815.36	20	0.39475	0.3088
1	20384	815.36	21	0.32251	0.1547
1	20384	815.36	22	0.33016	0.72375
1	20384	815.36	23	0.24337	0.17433
1	20384	815.36	24	0.21597	0.40902
1	20384	815.36	25	0.8164	0.45762
1	20385	815.4	15	0.51571	0.1525
1	20385	815.4	16	0.52372	0.31127
1	20385	815.4	17	0.47976	0.45216
1	20385	815.4	18	0.37323	0.05122
1	20385	815.4	19	0.24083	0.08811
1	20385	815.4	20	0.39396	0.30814
1	20385	815.4	21	0.32169	0.15504
1	20385	815.4	22	0.32879	0.72307
1	20385	815.4	23	0.24307	0.17424
1	20385	815.4	24	0.21535	0.40988
1	20385	815.4	25	0.81599	0.45729
1	20386	815.44	15	0.51492	0.15255
1	20386	815.44	16	0.52315	0.31121
1	20386	815.44	17	0.47965	0.4522
1	20386	815.44	18	0.37211	0.05171
1	20386	815.44	19	0.23914	0.08963
1	20386	815.44	20	0.39317	0.3074
1	20386	815.44	21	0.32087	0.15527
1	20386	815.44	22	0.32745	0.72237
1	20386	815.44	23	0.2428	0.17411
1	20386	815.44	24	0.21476	0.4107
1	20386	815.44	25	0.81559	0.45696
1	20387	815.48	15	0.51411	0.15267
1	20387	815.48	16	0.52257	0.31113
1	20387	815.48	17	0.47954	0.45222
1	20387	815.48	18	0.37099	0.05218
1	20387	815.48	19	0.23747	0.09102
1	20387	815.48	20	0.39237	0.30669
1	20387	815.48	21	0.32005	0.1554
1	20387	815.48	22	0.32614	0.72163
1	20387	815.48	23	0.24252	0.17396
1	20387	815.48	24	0.21416	0.41144
1	20387	815.48	25	0.81521	0.45663
1	20388	815.52	15	0.51329	0.15277
1	20388	815.52	16	0.52201	0.31104
1	20388	815.52	17	0.47945	0.45221
1	20388	815.52	18	0.36987	0.05263
1	20388	815.52	19	0.23583	0.09237
1	20388	815.52	20	0.3916	0.30601
1	20388	815.52	21	0.31928	0.15556
1	20388	815.52	22	0.32485	0.72085
1	20388	815.52	23	0.24226	0.17393
1	20388	815.52	24	0.21355	0.41214
1	20388	815.52	25	0.81485	0.45629
1	20389	815.56	15	0.51249	0.15284
1	20389	815.56	16	0.52144	0.31097
1	20389	815.56	17	0.47938	0.45222
1	20389	815.56	18	0.36876	0.05315
1	20389	815.56	19	0.2342	0.09369
1	20389	815.56	20	0.39083	0.30535
1	20389	815.56	21	0.3185	0.15561
1	20389	815.56	22	0.32359	0.72002
1	20389	815.56	23	0.24198	0.17388
1	20389	815.56	24	0.21297	0.41281
1	20389	815.56	25	0.81447	0.45603
1	20390	815.6	15	0.51169	0.15275
1	20390	815.6	16	0.52089	0.31089
1	20390	815.6	17	0.4793	0.45225
1	20390	815.6	18	0.36764	0.05355
1	20390	815.6	19	0.23258	0.09489
1	20390	815.6	20	0.39007	0.30467
1	20390	815.6	21	0.31775	0.15563
1	20390	815.6	22	0.32235	0.71918
1	20390	815.6	23	0.2417	0.17379
1	20390	815.6	24	0.21238	0.41345
1	20390	815.6	25	0.81408	0.45581
1	20391	815.64	15	0.51087	0.15264
1	20391	815.64	16	0.52034	0.31073
1	20391	815.64	17	0.47925	0.45226
1	20391	815.64	18	0.36654	0.05403
1	20391	815.64	19	0.23099	0.09596
1	20391	815.64	20	0.38934	0.30408
1	20391	815.64	21	0.31701	0.15554
1	20391	815.64	22	0.32113	0.71827
1	20391	815.64	23	0.2414	0.17368
1	20391	815.64	24	0.2118	0.41399
1	20391	815.64	25	0.8137	0.45559
1	20392	815.68	15	0.51005	0.15253
1	20392	815.68	16	0.51979	0.31055
1	20392	815.68	17	0.47919	0.45229
1	20392	815.68	18	0.36544	0.05449
1	20392	815.68	19	0.22941	0.09694
1	20392	815.68	20	0.38864	0.30352
1	20392	815.68	21	0.31628	0.15542
1	20392	815.68	22	0.31995	0.71734
1	20392	815.68	23	0.24116	0.17368
1	20392	815.68	24	0.21123	0.41451
1	20392	815.68	25	0.81332	0.45537
1	20393	815.72	15	0.50921	0.1524
1	20393	815.72	16	0.51925	0.31041
1	20393	815.72	17	0.47915	0.45235
1	20393	815.72	18	0.36434	0.05484
1	20393	815.72	19	0.22787	0.09787
1	20393	815.72	20	0.38793	0.30293
1	20393	815.72	21	0.3156	0.15527
1	20393	815.72	22	0.31879	0.71637
1	20393	815.72	23	0.2409	0.17367
1	20393	815.72	24	0.21067	0.41499
1	20393	815.72	25	0.81294	0.45515
1	20394	815.76	15	0.50838	0.15225
1	20394	815.76	16	0.51872	0.31025
1	20394	815.76	17	0.47911	0.45243
1	20394	815.76	18	0.36327	0.05526
1	20394	815.76	19	0.22637	0.09877
1	20394	815.76	20	0.38722	0.30225
1	20394	815.76	21	0.31495	0.15515
1	20394	815.76	22	0.31767	0.71538
1	20394	815.76	23	0.24063	0.17363
1	20394	815.76	24	0.21015	0.41548
1	20394	815.76	25	0.81256	0.45499
1	20395	815.8	15	0.50755	0.15209
1	20395	815.8	16	0.5182	0.31006
1	20395	815.8	17	0.47906	0.4525
1	20395	815.8	18	0.3622	0.05566
1	20395	815.8	19	0.22489	0.09955
1	20395	815.8	20	0.38651	0.30154
1	20395	815.8	21	0.31431	0.15501
1	20395	815.8	22	0.31657	0.71435
1	20395	815.8	23	0.24035	0.17356
1	20395	815.8	24	0.20962	0.4159
1	20395	815.8	25	0.81217	0.45488
1	20396	815.84	15	0.50671	0.15191
1	20396	815.84	16	0.51769	0.30992
1	20396	815.84	17	0.47902	0.45259
1	20396	815.84	18	0.36112	0.05604
1	20396	815.84	19	0.22343	0.10021
1	20396	815.84	20	0.38581	0.30081
1	20396	815.84	21	0.31369	0.15475
1	20396	815.84	22	0.3155	0.71327
1	20396	815.84	23	0.24012	0.17362
1	20396	815.84	24	0.20911	0.41628
1	20396	815.84	25	0.81179	0.45478
1	20397	815.88	15	0.50589	0.15165
1	20397	815.88	16	0.51717	0.30977
1	20397	815.88	17	0.47898	0.45266
1	20397	815.88	18	0.36005	0.05649
1	20397	815.88	19	0.222	0.10075
1	20397	815.88	20	0.38512	0.30011
1	20397	815.88	21	0.3131	0.15438
1	20397	815.88	22	0.31446	0.71218
1	20397	815.88	23	0.23988	0.17365
1	20397	815.88	24	0.2086	0.41662
1	20397	815.88	25	0.81143	0.45467
1	20398	815.92	15	0.50507	0.15137
1	20398	815.92	16	0.51666	0.3096
1	20398	815.92	17	0.47893	0.45277
1	20398	815.92	18	0.35901	0.05692
1	20398	815.92	19	0.2206	0.10126
1	20398	815.92	20	0.38444	0.29939
1	20398	815.92	21	0.3125	0.154
1	20398	815.92	22	0.31346	0.71111
1	20398	815.92	23	0.23964	0.17358
1	20398	815.92	24	0.20809	0.41689
1	20398	815.92	25	0.81109	0.45456
1	20399	815.96	15	0.50426	0.15107
1	20399	815.96	16	0.51616	0.30941
1	20399	815.96	17	0.47888	0.45286
1	20399	815.96	18	0.35798	0.05732
1	20399	815.96	19	0.21924	0.10165
1	20399	815.96	20	0.38375	0.29858
1	20399	815.96	21	0.31194	0.15365
1	20399	815.96	22	0.31249	0.70999
1	20399	815.96	23	0.23941	0.17356
1	20399	815.96	24	0.20759	0.41712
1	20399	815.96	25	0.81077	0.45438
1	20400	816.0	15	0.50345	0.15069
1	20400	816.0	16	0.51567	0.3092
1	20400	816.0	17	0.47883	0.45298
1	20400	816.0	18	0.35696	0.05771
1	20400	816.0	19	0.21792	0.10191
1	20400	816.0	20	0.38308	0.29781
1	20400	816.0	21	0.31139	0.15319
1	20400	816.0	22	0.31155	0.70882
1	20400	816.0	23	0.23919	0.17351
1	20400	816.0	24	0.20711	0.41732
1	20400	816.0	25	0.81046	0.45418
1	20401	816.04	15	0.50264	0.15029
1	20401	816.04	16	0.51518	0.30897
